invoice_number,invoice_date,supplier_gstin,supplier_name,taxable_value,igst_amount,cgst_amount,sgst_amount,total_tax,invoice_total,hsn_code,document_type,exception_type,period
0101,2026-02-10,27AABCU9603R1ZM,Alpha Tech Solutions Pvt Ltd,13349.83,2402.97,1201.48,1201.48,4805.93,18155.76,2710,INV,CLEAN_MATCH,032026
0102,2026-01-18,29AADCB2230M1ZP,Beta Manufacturing Co,23366.89,4206.04,2103.02,2103.02,8412.08,31778.97,7308,INV,CLEAN_MATCH,032026
0103,2026-02-17,33AAFCR1234R1ZQ,Gamma Exports Ltd,12687.14,2283.69,1141.84,1141.84,4567.37,17254.51,2710,INV,CLEAN_MATCH,032026
0104,2026-02-27,07AAGCM5678N1ZR,Delta Traders,45902.49,8262.45,4131.22,4131.22,16524.89,62427.38,9403,INV,CLEAN_MATCH,032026
0105,2026-01-28,19AAHCK9012P1ZS,Epsilon Supplies Pvt Ltd,7383.7,1329.07,664.53,664.53,2658.13,10041.83,8471,INV,CLEAN_MATCH,032026
0106,2026-01-14,24AAJCL3456Q1ZT,Zeta Components Ltd,22449.57,4040.92,2020.46,2020.46,8081.84,30531.41,9403,INV,CLEAN_MATCH,032026
0107,2026-01-02,09AAKCM7890R1ZU,Eta Industries,47093.38,8476.81,4238.4,4238.4,16953.61,64046.99,2710,INV,CLEAN_MATCH,032026
0108,2026-02-11,06AALMN2345S1ZV,Theta Services Pvt Ltd,57599.37,10367.89,5183.94,5183.94,20735.77,78335.14,3004,INV,CLEAN_MATCH,032026
0109,2026-01-15,18AAMNP6789T1ZW,Iota Distributors,38690.68,6964.32,3482.16,3482.16,13928.64,52619.32,8443,INV,CLEAN_MATCH,032026
0110,2026-02-21,32AANCP1234U1ZX,Kappa Enterprises Pvt Ltd,70197.52,12635.55,6317.78,6317.78,25271.11,95468.63,8528,INV,CLEAN_MATCH,032026
0111,2026-02-21,22AAPCQ5678V1ZY,Lambda Logistics,16974.45,3055.4,1527.7,1527.7,6110.8,23085.25,3004,INV,CLEAN_MATCH,032026
0112,2026-01-22,36AAQCR9012W1ZZ,Mu Hardware Pvt Ltd,25840.35,4651.26,2325.63,2325.63,9302.52,35142.87,7308,INV,CLEAN_MATCH,032026
0113,2026-02-18,08AARCV3456X1ZA,Alpha Tech Solutions Pvt Ltd,30244.59,5444.03,2722.01,2722.01,10888.05,41132.64,8471,INV,CLEAN_MATCH,032026
0114,2026-01-25,17AASCW7890Y1ZB,Beta Manufacturing Co,12253.73,2205.67,1102.84,1102.84,4411.35,16665.08,8528,INV,CLEAN_MATCH,032026
0115,2026-01-23,15AATCX2345Z1ZC,Gamma Exports Ltd,50279.45,9050.3,4525.15,4525.15,18100.6,68380.05,8528,INV,CLEAN_MATCH,032026
0116,2026-01-03,27AABCU9603R1ZM,Delta Traders,59729.88,10751.38,5375.69,5375.69,21502.76,81232.64,9403,INV,CLEAN_MATCH,032026
0117,2026-01-08,29AADCB2230M1ZP,Epsilon Supplies Pvt Ltd,77983.68,14037.06,7018.53,7018.53,28074.12,106057.8,3004,INV,CLEAN_MATCH,032026
0118,2026-01-06,33AAFCR1234R1ZQ,Zeta Components Ltd,46403.05,8352.55,4176.27,4176.27,16705.09,63108.14,8528,INV,CLEAN_MATCH,032026
0119,2026-02-10,07AAGCM5678N1ZR,Eta Industries,51388.98,9250.02,4625.01,4625.01,18500.04,69889.02,8528,INV,CLEAN_MATCH,032026
0120,2026-01-24,19AAHCK9012P1ZS,Theta Services Pvt Ltd,48301.41,8694.25,4347.13,4347.13,17388.51,65689.92,2710,INV,CLEAN_MATCH,032026
0121,2026-01-05,24AAJCL3456Q1ZT,Iota Distributors,8436.83,1518.63,759.31,759.31,3037.25,11474.08,7308,INV,CLEAN_MATCH,032026
0122,2026-02-19,09AAKCM7890R1ZU,Kappa Enterprises Pvt Ltd,26704.1,4806.74,2403.37,2403.37,9613.48,36317.58,8471,INV,CLEAN_MATCH,032026
0123,2026-02-24,06AALMN2345S1ZV,Lambda Logistics,22459.32,4042.68,2021.34,2021.34,8085.36,30544.68,8471,INV,CLEAN_MATCH,032026
0124,2026-01-25,18AAMNP6789T1ZW,Mu Hardware Pvt Ltd,25848.02,4652.64,2326.32,2326.32,9305.28,35153.3,2710,INV,CLEAN_MATCH,032026
0125,2026-02-23,32AANCP1234U1ZX,Alpha Tech Solutions Pvt Ltd,32362.41,5825.23,2912.62,2912.62,11650.47,44012.88,8443,INV,CLEAN_MATCH,032026
0126,2026-01-23,22AAPCQ5678V1ZY,Beta Manufacturing Co,20713.03,3728.35,1864.17,1864.17,7456.69,28169.72,8443,INV,CLEAN_MATCH,032026
0127,2026-02-14,36AAQCR9012W1ZZ,Gamma Exports Ltd,75249.09,13544.84,6772.42,6772.42,27089.68,102338.77,2710,INV,CLEAN_MATCH,032026
0128,2026-01-05,08AARCV3456X1ZA,Delta Traders,50684.83,9123.27,4561.63,4561.63,18246.53,68931.36,7308,INV,CLEAN_MATCH,032026
0129,2026-02-04,17AASCW7890Y1ZB,Epsilon Supplies Pvt Ltd,59684.51,10743.21,5371.61,5371.61,21486.43,81170.94,7308,INV,CLEAN_MATCH,032026
0130,2026-01-30,15AATCX2345Z1ZC,Zeta Components Ltd,33459.16,6022.65,3011.32,3011.32,12045.29,45504.45,2710,INV,CLEAN_MATCH,032026
0131,2026-02-14,27AABCU9603R1ZM,Eta Industries,46771.23,8418.82,4209.41,4209.41,16837.64,63608.87,2710,INV,CLEAN_MATCH,032026
0132,2026-01-21,29AADCB2230M1ZP,Theta Services Pvt Ltd,68213.89,12278.5,6139.25,6139.25,24557.0,92770.89,8528,INV,CLEAN_MATCH,032026
0133,2026-01-04,33AAFCR1234R1ZQ,Iota Distributors,22178.61,3992.15,1996.07,1996.07,7984.29,30162.9,8471,INV,CLEAN_MATCH,032026
0134,2026-02-21,07AAGCM5678N1ZR,Kappa Enterprises Pvt Ltd,28658.98,5158.62,2579.31,2579.31,10317.24,38976.22,8443,INV,CLEAN_MATCH,032026
0135,2026-01-05,19AAHCK9012P1ZS,Lambda Logistics,20823.71,3748.27,1874.13,1874.13,7496.53,28320.24,9403,INV,CLEAN_MATCH,032026
INV/0136,26-02-2026,33AAFCR1234R1ZQ,Gamma Exports Ltd,58843.57,10591.84,5295.92,5295.92,21183.68,80027.25,7308,INV,FORMATTING_DIFF,032026
INV/2026/0137,11/02/2026,07AAGCM5678N1ZR,Delta Traders,42442.34,7639.62,3819.81,3819.81,15279.24,57721.58,2710,INV,FORMATTING_DIFF,032026
000138,30-01-26,19AAHCK9012P1ZS,Epsilon Supplies Pvt Ltd,15715.37,2828.77,1414.38,1414.38,5657.53,21372.9,7308,INV,FORMATTING_DIFF,032026
139,16-01-2026,24AAJCL3456Q1ZT,Zeta Components Ltd,60874.17,10957.35,5478.68,5478.68,21914.71,82788.88,9403,INV,FORMATTING_DIFF,032026
0140/FY26,17/01/2026,09AAKCM7890R1ZU,Eta Industries,61026.04,10984.69,5492.34,5492.34,21969.37,82995.41,3004,INV,FORMATTING_DIFF,032026
BILL_0141,27-02-26,06AALMN2345S1ZV,Theta Services Pvt Ltd,48764.97,8777.69,4388.85,4388.85,17555.39,66320.36,8443,INV,FORMATTING_DIFF,032026
INV/0142,15-01-2026,18AAMNP6789T1ZW,Iota Distributors,79799.43,14363.9,7181.95,7181.95,28727.8,108527.23,7308,INV,FORMATTING_DIFF,032026
INV/2026/0143,02/02/2026,32AANCP1234U1ZX,Kappa Enterprises Pvt Ltd,42013.69,7562.46,3781.23,3781.23,15124.92,57138.61,8528,INV,FORMATTING_DIFF,032026
000144,04-01-26,22AAPCQ5678V1ZY,Lambda Logistics,69582.72,12524.89,6262.44,6262.44,25049.77,94632.49,7308,INV,FORMATTING_DIFF,032026
145,10-02-2026,36AAQCR9012W1ZZ,Mu Hardware Pvt Ltd,16998.65,3059.76,1529.88,1529.88,6119.52,23118.17,2710,INV,FORMATTING_DIFF,032026
0146/FY26,28/01/2026,08AARCV3456X1ZA,Alpha Tech Solutions Pvt Ltd,49730.68,8951.52,4475.76,4475.76,17903.04,67633.72,3004,INV,FORMATTING_DIFF,032026
